Country / territory,Measure Names,Month of Date,Report Epi Week,Year of Date,Country / territory,Date,Measure Values,Laboratory confirmed cases,Suspected cases
Aruba,Suspected,January,1,2016,Aruba,"January, 2016",0,0,0
Aruba,Confirmed ,January,1,2016,Aruba,"January, 2016",0,0,0
Aruba,Suspected,January,2,2016,Aruba,"January, 2016",0,0,0
Aruba,Confirmed ,January,2,2016,Aruba,"January, 2016",0,0,0
Aruba,Suspected,January,3,2016,Aruba,"January, 2016",0,0,0
Aruba,Confirmed ,January,3,2016,Aruba,"January, 2016",0,0,0
Aruba,Suspected,January,4,2016,Aruba,"January, 2016",0,0,0
Aruba,Confirmed ,January,4,2016,Aruba,"January, 2016",0,0,0
Barbados,Suspected,January,1,2016,Barbados,"January, 2016",0,3,0
Barbados,Confirmed ,January,1,2016,Barbados,"January, 2016",3,3,0
Barbados,Suspected,January,2,2016,Barbados,"January, 2016",0,0,0
Barbados,Confirmed ,January,2,2016,Barbados,"January, 2016",0,0,0
Barbados,Suspected,January,3,2016,Barbados,"January, 2016",0,0,0
Barbados,Confirmed ,January,3,2016,Barbados,"January, 2016",0,0,0
Barbados,Suspected,January,4,2016,Barbados,"January, 2016",0,0,0
Barbados,Confirmed ,January,4,2016,Barbados,"January, 2016",0,0,0
Bolivia,Suspected,January,1,2016,Bolivia,"January, 2016",0,0,0
Bolivia,Confirmed ,January,1,2016,Bolivia,"January, 2016",0,0,0
Bolivia,Suspected,January,2,2016,Bolivia,"January, 2016",0,1,0
Bolivia,Confirmed ,January,2,2016,Bolivia,"January, 2016",1,1,0
Bolivia,Suspected,January,3,2016,Bolivia,"January, 2016",0,0,0
Bolivia,Confirmed ,January,3,2016,Bolivia,"January, 2016",0,0,0
Bolivia,Suspected,January,4,2016,Bolivia,"January, 2016",0,0,0
Bolivia,Confirmed ,January,4,2016,Bolivia,"January, 2016",0,0,0
Bonaire,Suspected,January,1,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Confirmed ,January,1,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Suspected,January,2,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Confirmed ,January,2,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Suspected,January,3,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Confirmed ,January,3,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Suspected,January,4,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Confirmed ,January,4,2016,Bonaire,"January, 2016",0,0,0
Brazil,Suspected,January,1,2016,Brazil,"January, 2016",0,0,0
Brazil,Confirmed ,January,1,2016,Brazil,"January, 2016",0,0,0
Brazil,Suspected,January,2,2016,Brazil,"January, 2016",0,0,0
Brazil,Confirmed ,January,2,2016,Brazil,"January, 2016",0,0,0
Brazil,Suspected,January,3,2016,Brazil,"January, 2016",0,0,0
Brazil,Confirmed ,January,3,2016,Brazil,"January, 2016",0,0,0
Brazil,Suspected,January,4,2016,Brazil,"January, 2016",0,0,0
Brazil,Confirmed ,January,4,2016,Brazil,"January, 2016",0,0,0
Colombia,Suspected,January,1,2016,Colombia,"January, 2016","1,789",30,"1,789"
Colombia,Confirmed ,January,1,2016,Colombia,"January, 2016",30,30,"1,789"
Colombia,Suspected,January,2,2016,Colombia,"January, 2016","2,866",22,"2,866"
Colombia,Confirmed ,January,2,2016,Colombia,"January, 2016",22,22,"2,866"
Colombia,Suspected,January,3,2016,Colombia,"January, 2016","3,626",252,"3,626"
Colombia,Confirmed ,January,3,2016,Colombia,"January, 2016",252,252,"3,626"
Colombia,Suspected,January,4,2016,Colombia,"January, 2016","5,067",281,"5,067"
Colombia,Confirmed ,January,4,2016,Colombia,"January, 2016",281,281,"5,067"
Costa Rica,Suspected,January,1,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Confirmed ,January,1,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Suspected,January,2,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Confirmed ,January,2,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Suspected,January,3,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Confirmed ,January,3,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Suspected,January,4,2016,Costa Rica,"January, 2016",0,1,0
Costa Rica,Confirmed ,January,4,2016,Costa Rica,"January, 2016",1,1,0
Curacao,Suspected,January,1,2016,Curacao,"January, 2016",0,0,0
Curacao,Confirmed ,January,1,2016,Curacao,"January, 2016",0,0,0
Curacao,Suspected,January,2,2016,Curacao,"January, 2016",0,0,0
Curacao,Confirmed ,January,2,2016,Curacao,"January, 2016",0,0,0
Curacao,Suspected,January,3,2016,Curacao,"January, 2016",0,0,0
Curacao,Confirmed ,January,3,2016,Curacao,"January, 2016",0,0,0
Curacao,Suspected,January,4,2016,Curacao,"January, 2016",0,1,0
Curacao,Confirmed ,January,4,2016,Curacao,"January, 2016",1,1,0
Dominican Republic,Suspected,January,1,2016,Dominican Republic,"January, 2016",0,0,0
Dominican Republic,Confirmed ,January,1,2016,Dominican Republic,"January, 2016",0,0,0
Dominican Republic,Suspected,January,2,2016,Dominican Republic,"January, 2016",0,0,0
Dominican Republic,Confirmed ,January,2,2016,Dominican Republic,"January, 2016",0,0,0
Dominican Republic,Suspected,January,3,2016,Dominican Republic,"January, 2016",27,10,27
Dominican Republic,Confirmed ,January,3,2016,Dominican Republic,"January, 2016",10,10,27
Dominican Republic,Suspected,January,4,2016,Dominican Republic,"January, 2016",77,0,77
Dominican Republic,Confirmed ,January,4,2016,Dominican Republic,"January, 2016",0,0,77
Ecuador,Suspected,January,1,2016,Ecuador,"January, 2016",0,2,0
Ecuador,Confirmed ,January,1,2016,Ecuador,"January, 2016",2,2,0
Ecuador,Suspected,January,2,2016,Ecuador,"January, 2016",0,5,0
Ecuador,Confirmed ,January,2,2016,Ecuador,"January, 2016",5,5,0
Ecuador,Suspected,January,3,2016,Ecuador,"January, 2016",0,6,0
Ecuador,Confirmed ,January,3,2016,Ecuador,"January, 2016",6,6,0
Ecuador,Suspected,January,4,2016,Ecuador,"January, 2016",0,12,0
Ecuador,Confirmed ,January,4,2016,Ecuador,"January, 2016",12,12,0
El Salvador,Suspected,January,1,2016,El Salvador,"January, 2016",492,0,492
El Salvador,Confirmed ,January,1,2016,El Salvador,"January, 2016",0,0,492
El Salvador,Suspected,January,2,2016,El Salvador,"January, 2016","1,069",0,"1,069"
El Salvador,Confirmed ,January,2,2016,El Salvador,"January, 2016",0,0,"1,069"
El Salvador,Suspected,January,3,2016,El Salvador,"January, 2016",913,0,913
El Salvador,Confirmed ,January,3,2016,El Salvador,"January, 2016",0,0,913
El Salvador,Suspected,January,4,2016,El Salvador,"January, 2016",828,0,828
El Salvador,Confirmed ,January,4,2016,El Salvador,"January, 2016",0,0,828
French Guiana,Suspected,January,1,2016,French Guiana,"January, 2016",0,7,0
French Guiana,Confirmed ,January,1,2016,French Guiana,"January, 2016",7,7,0
French Guiana,Suspected,January,2,2016,French Guiana,"January, 2016",130,39,130
French Guiana,Confirmed ,January,2,2016,French Guiana,"January, 2016",39,39,130
French Guiana,Suspected,January,3,2016,French Guiana,"January, 2016",115,29,115
French Guiana,Confirmed ,January,3,2016,French Guiana,"January, 2016",29,29,115
French Guiana,Suspected,January,4,2016,French Guiana,"January, 2016",185,13,185
French Guiana,Confirmed ,January,4,2016,French Guiana,"January, 2016",13,13,185
Guadeloupe,Suspected,January,1,2016,Guadeloupe,"January, 2016",0,0,0
Guadeloupe,Confirmed ,January,1,2016,Guadeloupe,"January, 2016",0,0,0
Guadeloupe,Suspected,January,2,2016,Guadeloupe,"January, 2016",0,1,0
Guadeloupe,Confirmed ,January,2,2016,Guadeloupe,"January, 2016",1,1,0
Guadeloupe,Suspected,January,3,2016,Guadeloupe,"January, 2016",0,9,0
Guadeloupe,Confirmed ,January,3,2016,Guadeloupe,"January, 2016",9,9,0
Guadeloupe,Suspected,January,4,2016,Guadeloupe,"January, 2016",0,7,0
Guadeloupe,Confirmed ,January,4,2016,Guadeloupe,"January, 2016",7,7,0
Guatemala,Suspected,January,1,2016,Guatemala,"January, 2016",0,0,0
Guatemala,Confirmed ,January,1,2016,Guatemala,"January, 2016",0,0,0
Guatemala,Suspected,January,2,2016,Guatemala,"January, 2016",78,37,78
Guatemala,Confirmed ,January,2,2016,Guatemala,"January, 2016",37,37,78
Guatemala,Suspected,January,3,2016,Guatemala,"January, 2016",0,0,0
Guatemala,Confirmed ,January,3,2016,Guatemala,"January, 2016",0,0,0
Guatemala,Suspected,January,4,2016,Guatemala,"January, 2016",0,0,0
Guatemala,Confirmed ,January,4,2016,Guatemala,"January, 2016",0,0,0
Guyana,Suspected,January,1,2016,Guyana,"January, 2016",0,0,0
Guyana,Confirmed ,January,1,2016,Guyana,"January, 2016",0,0,0
Guyana,Suspected,January,2,2016,Guyana,"January, 2016",0,1,0
Guyana,Confirmed ,January,2,2016,Guyana,"January, 2016",1,1,0
Guyana,Suspected,January,3,2016,Guyana,"January, 2016",0,0,0
Guyana,Confirmed ,January,3,2016,Guyana,"January, 2016",0,0,0
Guyana,Suspected,January,4,2016,Guyana,"January, 2016",0,0,0
Guyana,Confirmed ,January,4,2016,Guyana,"January, 2016",0,0,0
Haiti,Suspected,January,1,2016,Haiti,"January, 2016",13,5,13
Haiti,Confirmed ,January,1,2016,Haiti,"January, 2016",5,5,13
Haiti,Suspected,January,2,2016,Haiti,"January, 2016",4,0,4
Haiti,Confirmed ,January,2,2016,Haiti,"January, 2016",0,0,4
Haiti,Suspected,January,3,2016,Haiti,"January, 2016",96,0,96
Haiti,Confirmed ,January,3,2016,Haiti,"January, 2016",0,0,96
Haiti,Suspected,January,4,2016,Haiti,"January, 2016",204,0,204
Haiti,Confirmed ,January,4,2016,Haiti,"January, 2016",0,0,204
Honduras,Suspected,January,1,2016,Honduras,"January, 2016",608,0,608
Honduras,Confirmed ,January,1,2016,Honduras,"January, 2016",0,0,608
Honduras,Suspected,January,2,2016,Honduras,"January, 2016","1,119",0,"1,119"
Honduras,Confirmed ,January,2,2016,Honduras,"January, 2016",0,0,"1,119"
Honduras,Suspected,January,3,2016,Honduras,"January, 2016","1,310",0,"1,310"
Honduras,Confirmed ,January,3,2016,Honduras,"January, 2016",0,0,"1,310"
Honduras,Suspected,January,4,2016,Honduras,"January, 2016","1,436",0,"1,436"
Honduras,Confirmed ,January,4,2016,Honduras,"January, 2016",0,0,"1,436"
Jamaica,Suspected,January,1,2016,Jamaica,"January, 2016",0,0,0
Jamaica,Confirmed ,January,1,2016,Jamaica,"January, 2016",0,0,0
Jamaica,Suspected,January,2,2016,Jamaica,"January, 2016",0,0,0
Jamaica,Confirmed ,January,2,2016,Jamaica,"January, 2016",0,0,0
Jamaica,Suspected,January,3,2016,Jamaica,"January, 2016",0,0,0
Jamaica,Confirmed ,January,3,2016,Jamaica,"January, 2016",0,0,0
Jamaica,Suspected,January,4,2016,Jamaica,"January, 2016",0,1,0
Jamaica,Confirmed ,January,4,2016,Jamaica,"January, 2016",1,1,0
Martinique,Suspected,January,1,2016,Martinique,"January, 2016",0,12,0
Martinique,Confirmed ,January,1,2016,Martinique,"January, 2016",12,12,0
Martinique,Suspected,January,2,2016,Martinique,"January, 2016","1,231",0,"1,231"
Martinique,Confirmed ,January,2,2016,Martinique,"January, 2016",0,0,"1,231"
Martinique,Suspected,January,3,2016,Martinique,"January, 2016","1,064",0,"1,064"
Martinique,Confirmed ,January,3,2016,Martinique,"January, 2016",0,0,"1,064"
Martinique,Suspected,January,4,2016,Martinique,"January, 2016","1,645",0,"1,645"
Martinique,Confirmed ,January,4,2016,Martinique,"January, 2016",0,0,"1,645"
Mexico,Suspected,January,1,2016,Mexico,"January, 2016",0,0,0
Mexico,Confirmed ,January,1,2016,Mexico,"January, 2016",0,0,0
Mexico,Suspected,January,2,2016,Mexico,"January, 2016",0,3,0
Mexico,Confirmed ,January,2,2016,Mexico,"January, 2016",3,3,0
Mexico,Suspected,January,3,2016,Mexico,"January, 2016",0,16,0
Mexico,Confirmed ,January,3,2016,Mexico,"January, 2016",16,16,0
Mexico,Suspected,January,4,2016,Mexico,"January, 2016",0,31,0
Mexico,Confirmed ,January,4,2016,Mexico,"January, 2016",31,31,0
Nicaragua,Suspected,January,1,2016,Nicaragua,"January, 2016",0,0,0
Nicaragua,Confirmed ,January,1,2016,Nicaragua,"January, 2016",0,0,0
Nicaragua,Suspected,January,2,2016,Nicaragua,"January, 2016",0,0,0
Nicaragua,Confirmed ,January,2,2016,Nicaragua,"January, 2016",0,0,0
Nicaragua,Suspected,January,3,2016,Nicaragua,"January, 2016",0,0,0
Nicaragua,Confirmed ,January,3,2016,Nicaragua,"January, 2016",0,0,0
Nicaragua,Suspected,January,4,2016,Nicaragua,"January, 2016",0,2,0
Nicaragua,Confirmed ,January,4,2016,Nicaragua,"January, 2016",2,2,0
Panama,Suspected,January,1,2016,Panama,"January, 2016",0,4,0
Panama,Confirmed ,January,1,2016,Panama,"January, 2016",4,4,0
Panama,Suspected,January,2,2016,Panama,"January, 2016",0,3,0
Panama,Confirmed ,January,2,2016,Panama,"January, 2016",3,3,0
Panama,Suspected,January,3,2016,Panama,"January, 2016",0,4,0
Panama,Confirmed ,January,3,2016,Panama,"January, 2016",4,4,0
Panama,Suspected,January,4,2016,Panama,"January, 2016",0,4,0
Panama,Confirmed ,January,4,2016,Panama,"January, 2016",4,4,0
Paraguay,Suspected,January,1,2016,Paraguay,"January, 2016",0,0,0
Paraguay,Confirmed ,January,1,2016,Paraguay,"January, 2016",0,0,0
Paraguay,Suspected,January,2,2016,Paraguay,"January, 2016",0,0,0
Paraguay,Confirmed ,January,2,2016,Paraguay,"January, 2016",0,0,0
Paraguay,Suspected,January,3,2016,Paraguay,"January, 2016",0,0,0
Paraguay,Confirmed ,January,3,2016,Paraguay,"January, 2016",0,0,0
Paraguay,Suspected,January,4,2016,Paraguay,"January, 2016",0,0,0
Paraguay,Confirmed ,January,4,2016,Paraguay,"January, 2016",0,0,0
Puerto Rico,Suspected,January,1,2016,Puerto Rico,"January, 2016",0,4,0
Puerto Rico,Confirmed ,January,1,2016,Puerto Rico,"January, 2016",4,4,0
Puerto Rico,Suspected,January,2,2016,Puerto Rico,"January, 2016",0,4,0
Puerto Rico,Confirmed ,January,2,2016,Puerto Rico,"January, 2016",4,4,0
Puerto Rico,Suspected,January,3,2016,Puerto Rico,"January, 2016",0,4,0
Puerto Rico,Confirmed ,January,3,2016,Puerto Rico,"January, 2016",4,4,0
Puerto Rico,Suspected,January,4,2016,Puerto Rico,"January, 2016",0,9,0
Puerto Rico,Confirmed ,January,4,2016,Puerto Rico,"January, 2016",9,9,0
Saint Martin,Suspected,January,1,2016,Saint Martin,"January, 2016",0,0,0
Saint Martin,Confirmed ,January,1,2016,Saint Martin,"January, 2016",0,0,0
Saint Martin,Suspected,January,2,2016,Saint Martin,"January, 2016",0,1,0
Saint Martin,Confirmed ,January,2,2016,Saint Martin,"January, 2016",1,1,0
Saint Martin,Suspected,January,3,2016,Saint Martin,"January, 2016",0,0,0
Saint Martin,Confirmed ,January,3,2016,Saint Martin,"January, 2016",0,0,0
Saint Martin,Suspected,January,4,2016,Saint Martin,"January, 2016",0,0,0
Saint Martin,Confirmed ,January,4,2016,Saint Martin,"January, 2016",0,0,0
Saint Vincent and the Grenadines,Suspected,January,1,2016,Saint Vincent and the Grenadines,"January, 2016",0,0,0
Saint Vincent and the Grenadines,Confirmed ,January,1,2016,Saint Vincent and the Grenadines,"January, 2016",0,0,0
Saint Vincent and the Grenadines,Suspected,January,2,2016,Saint Vincent and the Grenadines,"January, 2016",0,0,0
Saint Vincent and the Grenadines,Confirmed ,January,2,2016,Saint Vincent and the Grenadines,"January, 2016",0,0,0
Saint Vincent and the Grenadines,Suspected,January,3,2016,Saint Vincent and the Grenadines,"January, 2016",0,0,0
Saint Vincent and the Grenadines,Confirmed ,January,3,2016,Saint Vincent and the Grenadines,"January, 2016",0,0,0
Saint Vincent and the Grenadines,Suspected,January,4,2016,Saint Vincent and the Grenadines,"January, 2016",0,0,0
Saint Vincent and the Grenadines,Confirmed ,January,4,2016,Saint Vincent and the Grenadines,"January, 2016",0,0,0
Sint Maarten,Suspected,January,1,2016,Sint Maarten,"January, 2016",0,0,0
Sint Maarten,Confirmed ,January,1,2016,Sint Maarten,"January, 2016",0,0,0
Sint Maarten,Suspected,January,2,2016,Sint Maarten,"January, 2016",0,0,0
Sint Maarten,Confirmed ,January,2,2016,Sint Maarten,"January, 2016",0,0,0
Sint Maarten,Suspected,January,3,2016,Sint Maarten,"January, 2016",0,0,0
Sint Maarten,Confirmed ,January,3,2016,Sint Maarten,"January, 2016",0,0,0
Sint Maarten,Suspected,January,4,2016,Sint Maarten,"January, 2016",0,0,0
Sint Maarten,Confirmed ,January,4,2016,Sint Maarten,"January, 2016",0,0,0
Suriname,Suspected,January,1,2016,Suriname,"January, 2016",71,0,71
Suriname,Confirmed ,January,1,2016,Suriname,"January, 2016",0,0,71
Suriname,Suspected,January,2,2016,Suriname,"January, 2016",278,0,278
Suriname,Confirmed ,January,2,2016,Suriname,"January, 2016",0,0,278
Suriname,Suspected,January,3,2016,Suriname,"January, 2016",422,0,422
Suriname,Confirmed ,January,3,2016,Suriname,"January, 2016",0,0,422
Suriname,Suspected,January,4,2016,Suriname,"January, 2016",487,0,487
Suriname,Confirmed ,January,4,2016,Suriname,"January, 2016",0,0,487
Trinidad and Tobago,Suspected,January,1,2016,Trinidad and Tobago,"January, 2016",0,0,0
Trinidad and Tobago,Confirmed ,January,1,2016,Trinidad and Tobago,"January, 2016",0,0,0
Trinidad and Tobago,Suspected,January,2,2016,Trinidad and Tobago,"January, 2016",0,0,0
Trinidad and Tobago,Confirmed ,January,2,2016,Trinidad and Tobago,"January, 2016",0,0,0
Trinidad and Tobago,Suspected,January,3,2016,Trinidad and Tobago,"January, 2016",0,0,0
Trinidad and Tobago,Confirmed ,January,3,2016,Trinidad and Tobago,"January, 2016",0,0,0
Trinidad and Tobago,Suspected,January,4,2016,Trinidad and Tobago,"January, 2016",0,0,0
Trinidad and Tobago,Confirmed ,January,4,2016,Trinidad and Tobago,"January, 2016",0,0,0
United States Virgin Islands,Suspected,January,1,2016,United States Virgin Islands,"January, 2016",0,0,0
United States Virgin Islands,Confirmed ,January,1,2016,United States Virgin Islands,"January, 2016",0,0,0
United States Virgin Islands,Suspected,January,2,2016,United States Virgin Islands,"January, 2016",0,0,0
United States Virgin Islands,Confirmed ,January,2,2016,United States Virgin Islands,"January, 2016",0,0,0
United States Virgin Islands,Suspected,January,3,2016,United States Virgin Islands,"January, 2016",0,1,0
United States Virgin Islands,Confirmed ,January,3,2016,United States Virgin Islands,"January, 2016",1,1,0
United States Virgin Islands,Suspected,January,4,2016,United States Virgin Islands,"January, 2016",0,0,0
United States Virgin Islands,Confirmed ,January,4,2016,United States Virgin Islands,"January, 2016",0,0,0
Venezuela,Suspected,January,1,2016,Venezuela,"January, 2016",0,0,0
Venezuela,Confirmed ,January,1,2016,Venezuela,"January, 2016",0,0,0
Venezuela,Suspected,January,2,2016,Venezuela,"January, 2016",0,0,0
Venezuela,Confirmed ,January,2,2016,Venezuela,"January, 2016",0,0,0
Venezuela,Suspected,January,3,2016,Venezuela,"January, 2016",0,0,0
Venezuela,Confirmed ,January,3,2016,Venezuela,"January, 2016",0,0,0
Venezuela,Suspected,January,4,2016,Venezuela,"January, 2016","4,693",0,"4,693"
Venezuela,Confirmed ,January,4,2016,Venezuela,"January, 2016",0,0,"4,693"
Aruba,Suspected,February,5,2016,Aruba,"February, 2016",0,0,0
Aruba,Confirmed ,February,5,2016,Aruba,"February, 2016",0,0,0
Aruba,Suspected,February,6,2016,Aruba,"February, 2016",0,0,0
Aruba,Confirmed ,February,6,2016,Aruba,"February, 2016",0,0,0
Aruba,Suspected,February,7,2016,Aruba,"February, 2016",0,4,0
Aruba,Confirmed ,February,7,2016,Aruba,"February, 2016",4,4,0
Barbados,Suspected,February,5,2016,Barbados,"February, 2016",0,0,0
Barbados,Confirmed ,February,5,2016,Barbados,"February, 2016",0,0,0
Barbados,Suspected,February,6,2016,Barbados,"February, 2016",0,4,0
Barbados,Confirmed ,February,6,2016,Barbados,"February, 2016",4,4,0
Barbados,Suspected,February,7,2016,Barbados,"February, 2016",0,0,0
Barbados,Confirmed ,February,7,2016,Barbados,"February, 2016",0,0,0
Barbados,Suspected,February,8,2016,Barbados,"February, 2016",0,0,0
Barbados,Confirmed ,February,8,2016,Barbados,"February, 2016",0,0,0
Bolivia,Suspected,February,5,2016,Bolivia,"February, 2016",0,0,0
Bolivia,Confirmed ,February,5,2016,Bolivia,"February, 2016",0,0,0
Bonaire,Suspected,February,5,2016,Bonaire,"February, 2016",0,0,0
Bonaire,Confirmed ,February,5,2016,Bonaire,"February, 2016",0,0,0
Bonaire,Suspected,February,6,2016,Bonaire,"February, 2016",0,0,0
Bonaire,Confirmed ,February,6,2016,Bonaire,"February, 2016",0,0,0
Bonaire,Suspected,February,7,2016,Bonaire,"February, 2016",0,1,0
Bonaire,Confirmed ,February,7,2016,Bonaire,"February, 2016",1,1,0
Brazil,Suspected,February,5,2016,Brazil,"February, 2016",0,0,0
Brazil,Confirmed ,February,5,2016,Brazil,"February, 2016",0,0,0
Brazil,Suspected,February,6,2016,Brazil,"February, 2016","1,451",526,"1,451"
Brazil,Confirmed ,February,6,2016,Brazil,"February, 2016",526,526,"1,451"
Colombia,Suspected,February,5,2016,Colombia,"February, 2016","5,737",173,"5,737"
Colombia,Confirmed ,February,5,2016,Colombia,"February, 2016",173,173,"5,737"
Colombia,Suspected,February,6,2016,Colombia,"February, 2016","5,348",108,"5,348"
Colombia,Confirmed ,February,6,2016,Colombia,"February, 2016",108,108,"5,348"
Colombia,Suspected,February,7,2016,Colombia,"February, 2016","5,695",0,"5,695"
Colombia,Confirmed ,February,7,2016,Colombia,"February, 2016",0,0,"5,695"
Costa Rica,Suspected,February,5,2016,Costa Rica,"February, 2016",0,0,0
Costa Rica,Confirmed ,February,5,2016,Costa Rica,"February, 2016",0,0,0
Costa Rica,Suspected,February,6,2016,Costa Rica,"February, 2016",0,0,0
Costa Rica,Confirmed ,February,6,2016,Costa Rica,"February, 2016",0,0,0
Costa Rica,Suspected,February,7,2016,Costa Rica,"February, 2016",0,0,0
Costa Rica,Confirmed ,February,7,2016,Costa Rica,"February, 2016",0,0,0
Costa Rica,Suspected,February,8,2016,Costa Rica,"February, 2016",0,2,0
Costa Rica,Confirmed ,February,8,2016,Costa Rica,"February, 2016",2,2,0
Curacao,Suspected,February,5,2016,Curacao,"February, 2016",0,0,0
Curacao,Confirmed ,February,5,2016,Curacao,"February, 2016",0,0,0
Dominican Republic,Suspected,February,5,2016,Dominican Republic,"February, 2016",119,8,119
Dominican Republic,Confirmed ,February,5,2016,Dominican Republic,"February, 2016",8,8,119
Dominican Republic,Suspected,February,6,2016,Dominican Republic,"February, 2016",82,0,82
Dominican Republic,Confirmed ,February,6,2016,Dominican Republic,"February, 2016",0,0,82
Dominican Republic,Suspected,February,7,2016,Dominican Republic,"February, 2016",90,0,90
Dominican Republic,Confirmed ,February,7,2016,Dominican Republic,"February, 2016",0,0,90
Ecuador,Suspected,February,5,2016,Ecuador,"February, 2016",0,0,0
Ecuador,Confirmed ,February,5,2016,Ecuador,"February, 2016",0,0,0
Ecuador,Suspected,February,6,2016,Ecuador,"February, 2016",0,14,0
Ecuador,Confirmed ,February,6,2016,Ecuador,"February, 2016",14,14,0
Ecuador,Suspected,February,7,2016,Ecuador,"February, 2016",115,1,115
Ecuador,Confirmed ,February,7,2016,Ecuador,"February, 2016",1,1,115
El Salvador,Suspected,February,5,2016,El Salvador,"February, 2016",785,0,785
El Salvador,Confirmed ,February,5,2016,El Salvador,"February, 2016",0,0,785
El Salvador,Suspected,February,6,2016,El Salvador,"February, 2016",661,0,661
El Salvador,Confirmed ,February,6,2016,El Salvador,"February, 2016",0,0,661
El Salvador,Suspected,February,7,2016,El Salvador,"February, 2016",375,0,375
El Salvador,Confirmed ,February,7,2016,El Salvador,"February, 2016",0,0,375
